Case Number,Title,Settlement Amount,Date,Link
Case No. Civil Action 09-1280,"Donohue Cardiology Associates to Pay $125,000 to Settle EEOC Sexual Harassment Lawsuit","$125,000 ",06-21-2012,https://www.eeoc.gov/newsroom/donohue-cardiology-associates-pay-125000-settle-eeoc-sexual-harassment-lawsuit
Case No. 11-cv-01911-WDQ,"Johns Hopkins Home Health Care to Pay $160,000 to Settle Disability Discrimination Lawsuit","$160,000 ",06-19-2012,https://www.eeoc.gov/newsroom/johns-hopkins-home-health-care-pay-160000-settle-disability-discrimination-lawsuit
Case No. 11-cv-02546-WYD-BNB,"H&E Equipment Services to Pay $125,000 to Settle EEOC Sex Discrimination Lawsuit","$125,000 ",06-13-2012,https://www.eeoc.gov/newsroom/he-equipment-services-pay-125000-settle-eeoc-sex-discrimination-lawsuit
Case No. Civil Action No. CV 10-4471,"Nassau County to Pay $65,000 to Settle EEOC Age Discrimination Suit","$65,000 ",06-13-2012,https://www.eeoc.gov/newsroom/nassau-county-pay-65000-settle-eeoc-age-discrimination-suit
Case No. (Civil Action No. 3:11-CV-2557-L),"Stevens Transport to Pay $50,000 to Settle EEOC Disability Discrimination Lawsuit","$50,000 ",06-08-2012,https://www.eeoc.gov/newsroom/stevens-transport-pay-50000-settle-eeoc-disability-discrimination-lawsuit
Case No. 2:11-cv-15407,"Whitehall Healthcare to Pay $35,000 to Settle EEOC Religious Discrimination Lawsuit","$35,000 ",06-08-2012,https://www.eeoc.gov/newsroom/whitehall-healthcare-pay-35000-settle-eeoc-religious-discrimination-lawsuit
Case No. (Case No. 1:11– CV– 03336 – JEC),"Garney Construction and Georgia Power to Pay $49,500 to Settle EEOC Disability Lawsuit","$49,500 ",06-01-2012,https://www.eeoc.gov/newsroom/garney-construction-and-georgia-power-pay-49500-settle-eeoc-disability-lawsuit
Case No. 11-cv-02104-REB-CBS,Children&#39;s Hospital Colorado to Pay $95K to Settle EEOC Disability Lawsuit,39,05-31-2012,https://www.eeoc.gov/newsroom/childrens-hospital-colorado-pay-95k-settle-eeoc-disability-lawsuit
Case No. 11-cv-01303-WDQ,"Randstad US, LP to Pay $60,000 to Settle EEOC Disability Bias Suit","$60,000 ",05-10-2012,https://www.eeoc.gov/newsroom/randstad-us-lp-pay-60000-settle-eeoc-disability-bias-suit
Case No. 1:10-cv-11648,"AutoZone to Pay $75,000 to Settle EEOC Religious Discrimination Lawsuit","$75,000 ",03-30-2012,https://www.eeoc.gov/newsroom/autozone-pay-75000-settle-eeoc-religious-discrimination-lawsuit
